Name of NGO,Cause,Address
Lalitha Academy,Children,"LALITHA ACADEMY, 2083 8TH WARD BESIDE BHANDARI GAS, GODOWN NEAR GURUKULA VIDYA SAMSTHE, NAVULE SHIMOGA 577204"
Late Smt Lalbi Tumbarmatti Womens Minorities Education And Social Welfares Trust Bagalkot,Women's Development & Empowerment,"BABUSAB GOUSAB TUMBARMATTI, UPPAR MOHALL WARD NO 09 HOUSE NO 33A"
Laxmi Mahila Abhirudhi Sansthe,Children,"HOUSE NO. 407, NAIK GALLI, KAKTI, TQ: & DIST. BELGAUM-591113,"
Laxmivijayfoundation,Children,"Vijay Patil, Chairman, LAXMIVIJAYFOUNDATION , POST LOLASUR TALUK GOKAK, DISTRICT BELGAUM , STATE KARNATAKA, PIN CODE 591307"
Leading Light Ministries Trust,Children,"Leading Light Ministries Trust, No.!, Kings Court, 5th Main, 4th Crosss, Hampinagar,Bengaluru-560104"
Life Organsation,Micro Finance (SHGs),"LIFE ORGANISATION, NEAR MARALU SIDDESHWARA TEMPLE, OPP NEW BUS STAND CHICKKBALLAPUR562101"
Loka Kalyana Vividoddesha Seva Sangha,Vocational Training,"Mahendra K Rampure, H.No-288, Near- milind high school, S.B.College road Vidya Nagar, GULBARGA-585-103, kARNATAKA, M-9741694602, Office No-08472-25019"
Lokamathru Urban Rural Development Society,Health & Family Welfare,"SADBHAVANA KRUPA,PLOT NO 8 DAIVAJNA COLONY,SIDDESHWARPARK,VIDYANAGAR"
Lokasevashrama Trust Regd,Vocational Training,Alambadi V PO Malur Taluk Kolar District 563130
Lokee Foundation,Women's Development & Empowerment,"LOKEE FOUNDATION, (LATE SREE C VENKATE GOWDA MEMORIAL TRUST), BALUVANAHALLI, VENKATAPURA(POST), SIDLAGHATTA(TALUK), Chikkaballapur(DIST)"
Lovedale Foundation,Children,"Admin Office, 51,8th Main , Horamavu Main Road, Kalyan Nagar,Bengaluru 560043"
Maanini Women Welfare Organization,Children,"Maanini Women Welfare Organization, , Plot No. 1878, Anjenya nagar, sector.10, Malmaruti extension, Belgaum"
Maa Trust,Health & Family Welfare,"M-27, 5TH CROSS, GANDHINAGAR, SHAMPURA VILLAGE,Bengaluru"
Madarasa Tayyiabatu Swalihath Shikshan Samsthe,Vocational Training,SECTOR NO 18 BEHIND GOVERNMENT HOSPITAL NAVANAGAR BAGALKOT
Maha Bodhi Society,Children,"Maha Bodhi Society, 14, Kalidasa Road, Gandhinagar, Bengaluru - 560009"
Maharishi Education Society,Labour & Employment,WARD NO 16 NEAR GANESH MAIDAN BIDAR
Maharishi Education Society,Labour & Employment,WARD NO 16 NEAR GANESH MAIDAN BIDAR
Mahathma Gramabiruddi Swayam Seva Samste R,Women's Development & Empowerment,"prasident, Mahathma gramabiruddi swayam samste chilur, honnali Taluk"
Mahatma Gandhi Vidya Peetha Trust,Health & Family Welfare,"MAHATMA GANDHI VIDYA PEETHA TRUST, DAYANANDA SAGAR EDUCATIONAL INSTITUTIONS, SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT,Bengaluru 560 078"
Mahesh Foundation Karnataka,Children,"MAHESH FOUNDATION., Charitable Social Organisation, Reg Office :""AADHAR"" 792/1,Opp Kannada, School,Siddeshwar Nagar,Kanabargi, Belgaum - 590015."
Mahez Education Society,Children,"Mahez Education Society (R), CB-5, Cellar Floor, Anjuman New Complex, Near CBT, Dharwad, Karnataka, Pin Code : 580 001"
Mahila Abhivruddhi Mattu Samrkshana Samsthe,Dalit Upliftment,"Project Coordinator, MASS Belgaum, House No 574, Patil Building, Mahantesh Nagar , GHATAPRABHA - 591306, Taluka Gokak Dist Belgaum, State Karnataka -"
Mahila Abhivrudhi Mattu Samrakshana Samsthe,Dalit Upliftment,"House No 574, Patil Building, Mahantesh Nagar, GHATAPRABHA 591 306, Taluka Gokak Dist Belgaum Karnataka"
Mahila Grameena Vidyabhivrudhi Samsthe,Women's Development & Empowerment,"MAhila Grameena Vidyabhivrudhi Samsthe, Niveditha campus , Vijayapura Road,DevanahalliBengaluru Rural Dist-562 110"
Mahilakranti Uttar Kannada,Health & Family Welfare,"MAHILAKRANTI UTTAR KANNADA, , UPPARKERI,NEAR MARTHOMA DAY CARE CENER KUMTA KARWAR , PIN. 581343"
Mahila Mandal,Health & Family Welfare,"MAHILA MANDAL, C/O, Ingalagi House, , Halapeth, BAGALKOT-587101"
Mahila Mandal Nagar,Rural Development & Poverty Alleviation,"SMT JAYALAXMI RAO, Mahila Mandal, Nagar, Gujaripete, Nagar Post, Hosanagar Taluk, Shimoga Dist, Karnataka - PIN 577425"
Mahila Mandal Nagara,Children,"Mudugoppa Village, Post Nagara - 577425, Hosanagar Taluk, Shimoga Dist, Karnataka State"
Mahila Samaja Basavani,Children,"MAHILA SAMAJA BASAVANI, BASAVANI POST, THIRTHAHALLI TALUK, SHIMOGA DIST, KARNATAKA STATE, PIN : 577432"
Mahila Vividoddeshadha Kayigarika Sahakara Sangha Niyamitha,Children,"25th Ward, DeviNagar, Bellary -583101"
Malayachala Mahadeshwara Education Society,Children,"Malayachala Mahadeshwara Education Society , No.30,5th Cross,Rajiv Gandhi Nagar,Sunkada Katte,Bengaluru-560091"
Malenadsiri Gramina Abhiverdi Vidya Samaste,Vocational Training,"malenadsiri Gramina abhiverdi vidya samaste, Shivaparvathi Niliya 4th cross Tilak Nagar Shimoga 577201"
Malenadu Education And Rural D Evelopmentsociety S O C I E T Y,Rural Development & Poverty Alleviation,"L M HEGDE, MEARDS SOCIETY, GOLIKOPPA, ARASAPURA POST"
Mallikarjuna Mahila Mandal,Children,"Post - Togarsi, Taluq - Shikaripura, Dist Shimoga, Pin - 577433"
Malnad Public Charitable Trust,Children,"Bhadraiah K, Managing Trustee, , Malnad Public Charitable Trust, Sahasi Nilaya, Hiremagalore-577102, Chikmagalur Taluk & District, Karnataka State"
Manasa Graminabhiruddi Samste R,Rural Development & Poverty Alleviation,MANASA GRAMINABHIVRUDDI SAMSTE R VIGNESWARA KRUPA 60 ft ROAD VINOBANAGARA SHIMOGA KARNATAKA 577202
Manav Charities,Vocational Training,"MANAV CHARITIES, No.66, Kammagondanahalli, , Jalahalli West,Bengaluru-560 015."
Manav Vikas Kendra Bijapur,Rural Development & Poverty Alleviation,"Manav Vikas Kendra, Near Lingeshwar Temple, Banagar Galli, Jorapur Peth, Bijapur-586101"
Manju Education Society,Vocational Training,"MANJU EDUCATION SOCIETY, MANJUNATH NAGAR BALAJI ROAD, BETAGERI - GADAG - 582102"
Manogna Foundation,Children,"""MANOGNA FOUNDATION(R), Sri Shayla Nilaya, Dodda Kurubarahalli, Opp. CDA office, By-pass road, Chikmagalur-577102"
Manomay Charitable Trust,Children,"no 7, muneshwara nagar, ullal main road,Bengaluru, Karnataka - 560056., India"
Margadarshi,Micro Finance (SHGs),"SHIVANAND M BHASAGI, CHIEF FUNCTIONARY/GENERAL SECRETARY, MARGADARSHI, MARGADARSHI RESIDENTIAL SCHOOL FOR THE BLIND, NEAR MR. GIRISH KULKARANI HOUSE,"
Margadarshi Mahila Samaja,Micro Small & Medium Enterprises,"NO.114, 6TH CROSS, NARASIPURA LAYOUT, VIDYARANYAPURA,Bengaluru - 560 097."
Margadarshi The Association For Physically Challenged,Children,"75/6., Hulkul Complex, Lalbagh Road ,Bengaluru - 560 027"
Mathru Society For Social Devlopment,Women's Development & Empowerment,MATHRU SOCIETY FOR SOCIAL DEVLOPMENT NH 206 GUBBI 572216 TUMKUR DIST KARANATAKA STATE
Maya Movement For Alternatives And Youth Awareness,Health & Family Welfare,"25/1-4, 19th A Main, 9th Cross,J.P Nagar 2nd Phase -Bengaluru- 560078"
Mayawelfaresociety,Rural Development & Poverty Alleviation,NO 15 /2 RURUSHANTAMMA LAYOUT NEAR HANUMAN TEMPLE AFZALPUR ROAD BIDDAPUR COLONY GULBARGA 585103
Mayawtahi Mahila Mandal,Rural Development & Poverty Alleviation,"MAYAWATHI MAHILA MANDAL, BHARATAMMA D/O BANDEPPA, R/O YERNALLI AT POST YERNALLI , TQ. AND DIST BIDAR - 585401"
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town,Bengaluru - 560 005."
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town, ,Bengaluru-560005"
Mega Byte Education Society,Health & Family Welfare,"MEGABYTE EDUCATION SOCIETY, NO 6 SHIVASAGAR COMPLEX, OPP SK JUNIOR COLLEGE ATPOST TALIKOTI, TALUK MUDDEBIHAL, DIST BIJAPUR, PINCODE 586214"
Megha Welfare Association,Children,97 Dr Masthi venkatesh iyengar raod gavipuram extionsion
Mgmctrust,Rural Development & Poverty Alleviation,"KVS COMPLEX,NEAR SBH BANK ,BUSSTAND ROAD,SINDHANUR-584128"
Microfinance Innovation Trust,Micro Finance (SHGs),"No 85, Giridarshini, 1st Floor, Mount Joy Extensionk, Hanumanthnagar,Bengaluru 560019"
Minorities Educational And Charitable Trust Belgaum,Children,"S. A. Patil, President, Minorities Educational & Charitable Trust, Ist Cross, Nehrunagar, Belgaum-590010., Karnataka State."
Mithrafoundation,Children,"Mithra Foundation, 290/7, Venketaramiah Lay out-II cross, Banaswadi,Bengaluru 560043, karnataka."
Montfort College Society,Children,"Montfort College Society, , 184, Old Madras Road, Indira Nagar,Bengaluru - 560 038"
Mother Theresa Rural Development Trust,Rural Development & Poverty Alleviation,"B.J. EXTENSION PLOT, BESIDE SRIKARI COLLEGE, BELLARY ROAD, HOSPET"
Mother Theresa Urban And Rural Welfare Development Society,Urban Development & Poverty Alleviation,"Mother Theresa Urban and Rural Welfare Development Society. , 1st Floor Light House Building, Opp Usha Nursing Home, Savalanga Road Shimoga-577201"
Movement For Social Life And Human Rights Karnatak,Children,"Gandhinagar, Kavoor-Kuloor Road, Mangalore-5750015"
Msmahila Abhiruddi Sansthe,Women's Development & Empowerment,"M.S. Mahila Abhiruddi Sansthe, C/o M.S.Education Centre, shop no.8, Shree ram plaza, Line Bazar, Dharwad."
Msmahila Abhiruddi Sansthe,Women's Development & Empowerment,"khatun shaikh, shop no.8 Shree Ram plaza, Line bazaar, Tikare road, Dharwad-580001, Karnataka state"
Mula Abul Kalam Azad Assocation,Children,"azad nagar ward no. 5 , hungund 587 118, tq: hungund Dst: bagalkot"
Muniyamma Foundation,Women's Development & Empowerment,"MUNIYAMMA FOUNDATION, NO 6, 5TH MAIN, 10TH C CROSS, NAGAPURA, MAHALAKSHMIPURAM,Bengaluru 560086"
Murnad Mahila Mandal,Children,"Murnad Mahila Mandal, Murnad, Madikeri Taluk, Coorg District - 571252."
Muslim Miniorities Welfare Association,Urban Development & Poverty Alleviation,"md fazal patel, 20-143 bharath chowk, shahabad pin:585228"
My Bhumi,Drinking Water,"25 / 25,Benaka Arcade, 1 st. Floor, 1st. Block, BEL Layout, Vidyaranyapura,Bengaluru - 560097"
Nagrik Mitra,Vocational Training,KHAZI BUILDING HUNLIKAR PLOT SADANKERI DHARWD -580008
Namm Halli Theater,Vocational Training,"MANJUNATH SWAMY, CITB-188, 2ND MAIN, 1ST CROSS, VINOBHA NAGAR, POLICE CHOWKI"
Natanam Charitable Trust,Vocational Training,"No 784, 9th Main Road, 3rd Block, Koramangala,Bengaluru - 560034"
Nataraja Culture Natya Mandali,Children,"Natraja Culture Natya Mandali, Rachapura-Village&post, Kayvara-Hobili, Chintamani -Taluk, Kolar-Dist,K.A"
National Anti Crime Bureau,Labour & Employment,"NATIONAL ANTI CRIME BUREAU, NO-3, 2ND FLOOR, TIRUMALA TRADE CENTRE, NEELIGIN ROAD, HUBLI (KARNATAKA) INDIA-580029"
National Educational And Social Welfare Society For Minority,Children,"National Educational & Social Welfare Society for Minority, Water tank Road, HIRIYUR - 572143"
National Rural Development Society,Rural Development & Poverty Alleviation,"maruti l kamannavar, secretary, national rural development society, at/post : godachi-591114, taluka : ramdurg dist : belgaum, state : karnataka"
Nature Organization,Rural Development & Poverty Alleviation,"NATURE ORGANIZATION , MUNDEWADI SIR BUILDING, WARD NO. 16, AT,POST,TQ, HUNGUND , DIST: BAGALKOT , PIN CODE - 587118"
Navabharath Rurtal And Educational Society,Children,NAVABHARATH RURAL AND EDUCATIONAL SOCIETY NO 96 BALAJI ELECTRONICS NEAR APMC YARD CHELUR ROAD CHINTHAMANI ChikkaballapurRICT KARNATAKA 563125
Navachetana,Micro Finance (SHGs),"8-6-77,Parwathi Nivas J P Nagar, Jawada Road Bidar, 585401"
Navajothi Institute For Self Help And Rural Devlop,Health & Family Welfare,"NISHARD, Hiregoudar complex, Medleri road,3rd Main, Ashok nagar, Ranebennur, 581115"
Nava Jyothi Foundation,Children,"Shree Vimaleshwar Krupa Ho. No. 1-1-16 W, Kathyayani Nagar, , Udupi -576102"
Navaspoorthi Sangha,Health & Family Welfare,"Navaspoorthi Sangha, IInd Floor, Mirji Complex, Minaxi Circle, Vijayapur-586101"
Naveen Yuvathi Mandali,Children,"NAVEEN YUVATHI MANDALI, B M ROAD, ALUR, ALUR TALUK, HASSAN DISTRICT - 57320."
Navjyothi Mahila Mattu Makkala Abhivruaddi Sansthe,Women's Development & Empowerment,Bhagirathi nivas house no -28 Kasugal Galli Bijapur-586101
Navodaya Hndicapped Wellfare Society,Women's Development & Empowerment,"Navodaya Handicapped Well-fare Society., Murugha Rajendra Nagar., Haveri., 581110."
Need Trust,Children,"48, Bhoopolam, Manjunath Nagar, 15th Cross, Subabi Lane, Behind Bharat Petrol Bank, Hormova Post, Kolkere Main Road,Bengaluru"
Nes,Vocational Training,TESTINGTESTINGTESTINGTESTING
Nesara Rural Development Society R,Health & Family Welfare,NESARA RURAL DEVELOPMENT SOCIETY ( R ) BRANCH OPFFICE DOOR NO 224 2ND WARD BEHIND SC GIRLS HOSTEL GULUR ROAD BAGEPALLI TOWN AND TALUK 561207 CHIKKABAL
Nethaji Subhaschandra Bhose Vividoddesha Vedike R,Health & Family Welfare,"Village:Narasingapura Post:Donimalai, Tq:Sandur Dist: Ballary , Pin:583 118"
Nethajividfyasamsthe,Rural Development & Poverty Alleviation,"Nethaji Vidya samsthe (19/1990-91), Chikkanahalli Hosabadavane , Nittuvalli, Davanagere -577004, Karnataka"
Nethrajyothi Education Society,Health & Family Welfare,"nethra jyothi eye hospital, SRELay out, behind hero honda show room, turuvanoor road , pin-577501"
Ngo,Children,"PRAGATHI EDUCATION & RURAL DEVELOPMENT SOCIETY (ST MANAGEMENT), NAYAKANAHATTI, CHALLAKERE TALUK, CHITRADURAGA DIST"
Niranthara Seva Samsthe,Micro Finance (SHGs),"NIRANTHARA SEVA SAMSTHE, ALAGUDU, T.NARASIPURA - 571124, MYSORE DISTRICT"
Nirmal Khadi Mattu Gramodyoga Kaigarika Sangh,Rural Development & Poverty Alleviation,"Smt. Nirmala Jugali, President, 1995/A, Somwarpeth , Gokak - 591307"
Nirmal Women And Child Development Society,Children,NIRMAL WOMEN DEVELOPMENT SOCIETY TQ SINDAGIDIST BIJAPUR
Nirman Bharathi,Micro Finance (SHGs),"2nd floor, shivkala complex, near gurudwara gate Bidar- 585401., , cont : 8123166227"
Nisarga Organisation For Rural Development,Children,"Nisarga Organisation for Rural Development, Kestur, Maddur Taluk, Mandya Dist., PIN- 571 476"
Nisarga Public Chaitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur,573134, Hassan District, Karnataka"
Nisarga Public Chaitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur,573134, Hassan District, Karnataka"
Nisarga Public Chaitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur,573134, Hassan District, Karnataka"
Nisarga Public Charitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur- 573134, Hassan District, Karnataka"
Nisarga Public Charitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur-573134, Hassan Distict, Karnataka"
Nisarga Public Charitable Trust,Children,"Nisarga Public Charitable Trust, Champaknagar, Sakleshpur-573134, Hassan Distict, Karnataka"
Nisarga Society,Health & Family Welfare,"Nisarga society(R),No:-3850, 1st main road,3rd cross, Lokayuktha office near, Vapasandra, Chikkaballapur Taluk & Distric-562101"
Nivedita Yuvati Mandali,Drinking Water,"NIVEDITA YUVATI MANDAL, MATRU KRUPA JYOTI NAGAR, SINDAGI"
Noble Organization,Children,"25/1 9th Main, 2nd Cross, K.G. Colony, GM Palya, 5600075"
Noel Public Charitable Trust,Children,"No 37, 8th cross, 2nd A Main, Vignan Nagar, New Tippasandra P.O."
Noopura Bhramari,Children,"Noopura Bhramari (R.), Sannidhya, Dechoo Road, Near Ashwatthakatte, Madikeri, Kodagu district, Karnataka 571201"
Nootan Janaseva Sangh,Children,"NSJS SANGH, C/O S D YAKANE, AT POST VADRAL, TALCHIKODI , DIST BELGAUM, STATE KARNATAKA"
Nrithyanikethanakodavoor,Children,"Nrithya Nikethana, Kodavoor(R), Salmara, Krodashrama, Udupi-576106, Karnataka"
Oddolaga Regd Hittalkai,Children,ODDOLAGA REGD HITTALKAI POST: GOLGOD TALUK SIDDAPUR
Odissi Dance Centre Trust,Children,"Nrityagram, Hessaraghatta P.O."
Om Maruthi Vidya Samste,Children,"No.948,3rd A cross,Hrbr I block,Kalyananagar,Bengaluru 43"
Om Sai Seva Sangh Bajapur,Women's Development & Empowerment,CHANDHBAVADI ROAD BELLAD BUILDING BASWASHWAR ROAD BAJAPUR
Outreach Association Of Volunteers For Rural Development,Children,"205,HBR Layout,1st Stage extension,2nd block,80 feet road,Bengaluru-560043"
Outreach Association Of Volunteers For Rural Development,Drinking Water,"OUTREACH Association of volunteers for Rural development, 205,HBR layout 2nd block 80 feet roadBengaluru 560043"
Padarayanapura Residents Welfare Trust,Labour & Employment,"NO.19/6, 11TH CROSS, PADARAYANAPURA,Bengaluru-560026"
Padi Mangalore,Children,"""GANESHA"", 2nd CROSS, LOWER BENDOOR, KANKANADY POST, MANGALORE: 575 002, DAKSHINA KANNADA"
Padmavathi,Children,"Alamela Apartments, 90/101, 4th Main,13th Cross, Malleswaram,Bengaluru - 560003"
Panchami Women And Rural Development Organisation,Women's Development & Empowerment,panchami women and rural development organisation tmc road NARGUND-582207 dt gadag karnataka INDIA
Pandit Narasimhalu Vadavati Music Academy,Vocational Training,"14/1, Janakiramaiah Nilaya, , 13th Cross, 8th Main, M.T. Layout, Malleswaram, , Bengaluru 560 003"
Parameshwari Bhagini Samaj,Children,"Shri Ram Balamandir, Near Hospet Primary Schoo No.2, Sirsi - 581401"
Parihaar Foundation,Women's Development & Empowerment,"2992, 2nd Main, 17th Cross, BSK 2nd Stage,Bengaluru - 560 070"
Parihar,Children,"PARIHAR, OFFICE OF THE COMMISSIONER OF POLICE, NO 1 INFANTRY ROAD,Bengaluru 560001"
Paripoornaandruraldevelopmentsocietysindagi,Children,"PARIPOORNA AND RURALDEVELOPMENT SOCIETY S B BIRADAR DHARMASHREE NILAYA, KALYAN NAGAR SINDAGI BIJAPUR MAIN ROAD SINDAGI. PIN CODE:586160"
Parivartana Rural And Urban Development Organisation,Dalit Upliftment,"PARIVARTANA RURAL & URBAN DEVELOPMENT ORGANISATION, President - Premanath Chikkatumbal, No. 41, KCT Mill Chawl (Girani Chawl), 4th Cross, Karwar Road,"
Parivartan Mahila Mandal Kutaranatti,Children,"Parivartan Mahila Mandal Kutaranatti , PO: Hirebudnur Taluk: Savadatti, Dist: Belgaum Karnatak state, Pin:591119"
Parivartan Mahila Mandal Kutarnatti,Rural Development & Poverty Alleviation,"Parivartan Mahila Mandal Kutarnatti, At: Kutarnatti Post:Hirebudanur, Tq:Saundatti Dist: Belgaum"
Parivarthana Seva Samsthe,Rural Development & Poverty Alleviation,"Parivarthana Seva Samsthe, , Kalgod Mohalla, Molakalmuru Post and Taluk, Chitradurga Dist , Karnataka State , Pin: 577535"
Parivarthan Counselling Training And Research Centre,Children,"3310, 1st Floor, 8th Cross, 13th Main, HAL 2nd Stage,Bengaluru 560008"
Paryaya Bharath Seva Society Chitradurga,Children,"Pillekeranahalli, NH.13,Chitradurga Taluk & Dist-577502, Karnataka, Cell: 9538242781., E mail :pbsscta10@gamil.com"
Patel Rehabilitation And Education Empowerment Trust,Children,"PATEL REHABILITATION AND EDUCATION EMPOWERMENT TRUST {PREET}(estd 2006) , \tâ€˜Bâ€™ Narayanpura, ITPL main road, Nr.K.R.Puram Rly Stn,"
People Reorganisation And Integrated Development S,Children,"Dr.P.Sivarma. M.D, PRIDS, c/o akshatha health care and research center, shaik homeopathy college compound, Nehrunagar"
Phoenix Foundation,Children,NO 4 ABHISHEK GOWDA COMPLEX RING ROAD CIRCLE MYSORE GADDIGE MAIN ROAD BOGADI 570023 MYSORE KARNATAKA INDIA
Pirdsocietybidar,Urban Development & Poverty Alleviation,"PIRDSOCIETY, P.O KADWAD"
Prabudha Sikshana Grameeniabhirudhi Samaste,Children,basaveshwar nagar shahapur dist gulbarga pin 585223
Prabudha Sikshna Grameenabhirudhi Samste,Children,Basaveshwar nagar old tahsil off near court shahapur dist gulbarga 585223
Prachodana,Children,"PRACHODANA, (Center for Social Service), No. 872, 2nd Stage, 4th Main, Vijayanagara Ext, Belur Road, Hassan-573201, Karnataka,INDIA"
Pragathi Education And Development Socity,Children,"No, 28 Indira Nagara, yeluvahalli road, vijayapura town, devanahalli taluk 562135"
Pragathi Education And Rural Development Society,Women's Development & Empowerment,"PRAGATHI EDUCATION AND RURAL DEVELOPMENT SOCEITY, ARASAPURA, HOLAVANAHALLI HOBLI, KORATAGERE TALUK, TUMKUR-572121"
Pragathi Itegrated Rural Developmentsociety,Health & Family Welfare,"Pragathi Integrated Rural Development Society,Bhaktharahalli,Sidlaghatta taluk,Chikkaballapurrict.562102"
Pragati Samuday Education Society Mudhol,Dalit Upliftment,"Pragati Samuday Education Society, Hemaraddi Mallamma Nagar, Mudhol., Pin Code-587313."
Pragati Vanita Samaj,Children,"PRAGATI VANITA SAMAJA, AT & PO: HADAV, TA: ANKOLA, DIST: UTTARA KANNADA, KARNATAKA"
Pragnya Socio Economic And Educational Development Society,Dalit Upliftment,"AT: KUDMUD, POST: AMBALAGA, TQ: ALAND, DIST: KALABURAGI , (GULBARGA) PIN: 585316, Cell. No. 9449447071"
Pragnya Spoorthi Seva Society,Health & Family Welfare,"H.NO. C-14/1, NEW GHATGE LAYOUT MSK MILL ROAD GULBARGA 585103"
Prajna Counselling Centre,Children,"Prajna Counselling Centre, Falnir Road, Kankanady, Mangalore - 575 002"
Prakruthi Abhivruddhi Seva Samsthe,Women's Development & Empowerment,"T. Venkatesh, Ittsandra Village, Nandagudi Hobli, Hoskote Taluk,Bengaluru - Rural - 562 122"
Prakruthi Integrated Rural Development Society,Children,"At:PO: Hunshyal PG 591224, Tal Gokak Dist: Belgaum"
Prakruthi Welfare Foundation,Children,"PRAKRUTHI WELFARE FOUNDATION, 2145 8TH B MAIN 3RD PHASE YELAHANKA NEWTOWN"
Prakruti Foundation,Health & Family Welfare,"C/o. Babu Timanna Wadda, H. No. 696, Waddar Galli, Angol, Behind Marathi School, Dist: Belgaum, State: Karnataka-590007"
Pramod Educational Trust,Children,"35,OPP.R.V.ENGG COLLEGE,MYSORE ROAD,Bengaluru-560059,KARANATAKA,INDIA"
Pranav Medical Trust,Health & Family Welfare,"Pranav medical trust, ""Saraswath Nilaya"", Gunnalli Road, Shapur Gate, Bidar-585401"
Pratheksha,Children,"1036/6,Second Stage, 7th Main, HAL 2nd Stage,"
Priyadarshini Mahila Hagu Makkala Vikas Mattu Sarvajanik Abhivriduhi Swayam Seva Sansthe Belgaum,Women's Development & Empowerment,"KUSUM NIVAS PLOT NO 22 OPP MAHANTESH GARDEN, MRITUNJAYA NAGAR, ANGOL ROAD, TILAKWADI BELGAUM"
Priyadarshini Mahila Mandal,Women's Development & Empowerment,"Priyadarshini Mahila Mandal, H.No: 8-9-401, Ambadas Nilaya, Vijaya Nagar Colony, Opp Bus Stand, Bidar-585 401 (Karnataka)."
Priyadarshini Mahila Mandaligala Okkuta Bellary Karnataka,Women's Development & Empowerment,"1st cross, club road, devei nagar , Bellary -583101"
Priyadarshini Organisation,Women's Development & Empowerment,"priyadarshini mahila mandali(R), eadgha mohalla, kumbar streat , hassan 573201"
Priyanka Urban And Rural Development Organization R,Rural Development & Poverty Alleviation,"Priyanka Urban and Rural Development Organization R, No.8 6th main Road Near Gangamm Temple ganganagar R.T.Nagar Post,Bengaluru-560032."
Provincial Congregation Of Sisters Of St Charles,Women's Development & Empowerment,"Cardinal Gracias hospital, Nirmal Nagar, Modage P.O,Belgaum DT,Karnataka.591103"
Provision Asia,Children,"727, 2nd Main, 2nd Cross, Chinnanna Layout,Kaval Byrasandra, R.T Nagar Post,Bengaluru 560032"
Provision Asia,Children,"proVISION ASIA, No.727,2nd Cross, 2nd Main, Chinnanna Layout, Kaval Byrasandra, R T Nagar, PO."
Pruthvi Foundation,Children,"No. 5, 7th Cross, Gajendra Nagar, Adugodi,"
Punyakoti Grameenabhiruddhi Sounsthe R Kanaginahal,Rural Development & Poverty Alleviation,"PUNYAKOTI.GRAMEENABHIVRUDDHI SOUNSTHE AT KANAGINAHAL , TQ/DIST GADAG - 582102, STATE KARNATAKA"
Pure Heart Agricultural Rural Development Society,Rural Development & Poverty Alleviation,"PURE HEART AGRICULTURAL RURAL DEVELOPMENT SOCIETY, HOLAVANAHALLI VILLAGE, KORATAGERE TALUK"
Pushpanjali Rural Development Society,Dalit Upliftment,"sangmesh s/o sharanappa patil, c/o sai pushpanjali nivas, house no:- 4-1-447/1,guru colony, bhalki tq: bhalki, dist: bidar"
Puttenahalli Neighbourhood Lake Improvement Trust,Children,"B3, 502, South City, Arekere Mico Layout, Off Bannerghatta Road,Bengaluru 560076"
Racsha,Children,"No.12, Arogyappa Layout, Mestripalya, behind Manyata Teck Park, Rachehanall Main Road,Bengaluru - 560077"
Rahul Gandhi City And Rural Development Society,Drinking Water,"RAHUL GANDHI URBAN AND RURAL DEVELOPMENT SOCIETY, MULAGUND, TQ GADAG, DIST GADAG KARNATAKA , PIN 582117"
Rajeev Gandhi Education Trust,Children,"S M Krishna Nagar, Old-hubli"
Rajeev Gandhi Rural Development Handicap Society R,Rural Development & Poverty Alleviation,"Rajeeva Gandhi Rural Development Handicap Society (R) H.NO. 205, Bhudhera Tq. & Dist. BIDAR. Karnataka, Pin Code: 585226."
Rakshane Mahila Okkuta Gadag,Children,"Rakshane Mahila Okkuta Gadag, Vasanth Bidi Building, Ambabhavani circle, Gadag Pincode-582102"
Ramabai Mahila Mandal,Rural Development & Poverty Alleviation,"ramabai mahila mandal, village- nittur (B), tq Bhalki and dist- Bidar, pincode: 585413"
Rangakahale,Children,"No.35, 2nd main, 2nd cross, Banashankari 5th stage, Uttarahalli, 560061"
Rashmi Mahila Sangha,Children,"Rashmi Mahila Sangha, Cholamballi, Honnudike Post, Tumkur Tq, Tumkur Dist, Karnataka., Pin-572122"
Rashtriya Santosh Education Society Bidar,Children,"H. No. 12-1-56, Opp: SDA School, Outside Fathe Darwaza, Gowli Galli, Bidar-585401"
Reach Charitable Trust,Children,"14, Heerachand Road, Cox Town,Bengaluru 560005"
Reach Charitable Trust,Nutrition,"14, Heerachand Road, Cox Town,Bengaluru 560005"
React,Rural Development & Poverty Alleviation,"B A Manjunatha, Siddachar building, Jyothi Nagar, Sira-572137, Tumkur (Dist)"
Riya Foundation,Children,"Riya Foundation, 2-21-111, Riya Hope Farm, Kotimura, Kulshekar, Mangalore â€“ 575005"
Rotary Educational And Welfare Organisation,Rural Development & Poverty Alleviation,"Trinity, 15, Teachers Colony, Bengeri, Hubli - 580023"
